id,created_at,name,address_str,published,video_links,phone_number,tags_id,placeId,ratings,price,website_url,handicap,vege,schedule,picture_profile,number_of_reviews,GPS_address,reviews
1,1706198849739,Bao Express,"10 R. Bréguet, 75011 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710323118/bmv9qwxdmjofyh5uuooe.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323161/dhrwrbzyi1hxvxxcsegp.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323280/pvwdor8zpqolx2kufapt.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323399/bt9o9xergv4nsyg3krqw.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323417/wptamqm66tkk1volseik.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323426/sbst0dmkyiybohjcab1i.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323439/qk5kiknlvsji436qjvp0.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323450/bp1rwrdhc1mlregwwzmp.mp4']",,"[1, 2]",ChIJ2SnopiVt5kcRCpl04SjBTuY,4.7,2,https://www.baofamily.co/bao-express,True,True,"['Monday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u20093:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u20093:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM']",ATplDJYhPezfyRRjVspopGAsobj1zjHXifj1E_JcXkDrrCmWU2I8V4dK7dfS7PP-Wx9QGfKcgPV3dBKgxPj5xXZ_jejCvZ7_gdN5KdMiSI-iAa69_9HnQT4jJGWu8ettspDQpOe9-d2jRcj3m4TgdfzFIZKgnwe-ZPgqnJt3YEhWM057DlHf,3197,"{'type': 'point', 'data': {'lng': 2.3722064, 'lat': 48.8565703}}","[{'author': '', 'text': 'If you looking for the correct style of food. Sorry, it is not. Fancy enough but nothing related to the food.\n\nTheir service was super quick, my dishes were delivered within 5 minutes after my order. All the food were cold when they arrivd my table.\n\nNot tasty enough. The bun meat was dry and small portion, which a qualified meat bun shoul be meaty with juice. This style Chinese food should serve in hot and not pre cook.\n\nAt last, I am questioning about how the meat bun was made. You can saw that the bamboo steamer was dry compared to the Siumai one. The Siumai steamer was wet that mean at least the Siumai was steamed in it. Anyway, it was only my observation but mean nothing.', 'rating': '1'}, {'author': '', 'text': 'I loved this place! In two weeks took the following: Chinese spring rolls (they were ok), Xiao Long Bao Shangai classic (the filling is very good and the dough is thick and fluffy), Char Siu Bao (basically the big dumplings, they are super tasty, I preferred these to the smaller ones), Aubergines Hong Shao (for sure the best thing we ate, they were delicious, I sincerely recommend these) and finally the Poulet Sweet & Sour (very good as well). We were very hungry and in the end we were quite full. Plus, the service was super kind and welcoming.', 'rating': '5'}, {'author': '', 'text': 'Very very overrated, you can find better asian\nrestaurants in Paris. Never order the lemonade, it is just water. The mango sago is a mango lassi with very few tapioca perles and some small chunks of mango. Aubergines and noodles are ok.\nService was great. A shame that food wasn’t as good. Everything is deeply fried.', 'rating': '3'}, {'author': '', 'text': 'Loved this great place. 😋\nGreat food, options even for vegans.\nBig place so you can be spontaneous, friendly staff.\nEnjoy', 'rating': '5'}, {'author': '', 'text': 'This has to be one of THE HIDDEN GEMS of Paris. This isn’t on any tourist lists of places to eat and it’s not typical French food, but it is delicious and the vibe in this place is immaculate. We enjoyed it so much, we went back on our last night in Paris to have it again!  Beef Ho Fun is easily the best dish we had in Paris and the Sweet and Sour Chicken is unlike any version we’ve had in the best way possible. Also, if you’re a dessert person, the lava French toast is a must try!  We would eat here again and again and will recommend this place to anyone traveling to Paris!', 'rating': '5'}]"
13,1706536813755,JJAN,"14 rue du pont neuf, 75001 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1708096483/oewynf4shlmpleic7d9t.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096655/a2szemzkj2lnh4yb2agg.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096676/cbuteijhn9y6fwvykgnb.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096700/v0bal0vg2zazobc2pdfk.mp4']",,"[1, 3]",ChIJO2EzVqJv5kcRY3Icd5vNYYU,4,,,False,False,"['Monday: 12:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u200911:00\u202fPM']",ATplDJY2CoDu8PHL84PhpNC0Jh21Dt7nKUxIcclK3GtGCDzM2KE2YfmsrdwVHYuYKAJ2bCIFzXVLvVYi2BjfPetE_MdR9ZT7RbDjxmRTDhnhRDZxgEzJMkPIJw9vXuN1BuYcDAvosfSkyd3NaYDWyMeGEXWGF3DPEYRKB-tExhRW6TScsJ4d,544,"{'type': 'point', 'data': {'lng': 2.344315, 'lat': 48.860111}}","[{'author': '', 'text': 'The food was very good, very close to authentic and the price for a Korean restaurant in Paris was quite “affordable”. The portions are big so it fills you well. It is a very popular restaurant so it gets crowded (even waiting lines outside) and there isn’t much space between tables. The staff is really nice and accommodating, if you need anything just ask and they will bring you.\nDefinitely recommend!', 'rating': '5'}, {'author': '', 'text': 'Very good Korean dishes—two pages of choices. Love my spicy tofu soup. They need more vegetarian choices. The bibimbap bowl should be much hotter as the rice was room temperature so it made the dish less exciting.  Spartan furniture.', 'rating': '4'}, {'author': '', 'text': 'Newly opened. Very tasty in a nicely designed restaurant.\n\nFood wise : we got the dish to share. Cheese + chicken, some KFC as well.\nIt’s all good. Loved the fried chicken with their honey soy sauce.\nOf course, they’ll let you take everything in takeaway if you don’t finish.\n\nService wise : they just opened, when it’s full it gets a bit slow but I’m sure they’ll improve very soon.\n\nPrice wise : I found it very affordable for that kind of Korean cuisine, especially considering it’s located in the very center of Paris.\n\nI do recommend it.', 'rating': '5'}, {'author': '', 'text': 'Great prices and great location. Small menu. We got the KFC and Budae Jigae- KFC was great and crispy and juicy. Budae came with two rice and we added spice so that was great. Nice sauce and was not too bad, 7/10. Service was quick.', 'rating': '4'}, {'author': '', 'text': 'Food looks delicious but is somehow tasteless.\nThe kimchi pancake is extra oily.\nThe service was nice and friendly.\nOverall atmosphere is loud and fun, good for an affordable dinner with friends if you are in the area and don’t care much for the food quality.', 'rating': '4'}]"
16,1706626629342,Flam&go,186 rue Saint-Maur 75010 Paris,True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710781481/xkndfhnwgugjygojqqyw.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858461/u4zxhmawcase7j2l93yq.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858482/qlpscc1sdwqchkcbmc0p.mp4']",07 45 08 62 02,"[3, 5, 2]",ChIJf-eps38RPkYRwLtvdi_jGf8,4.3,,https://www.norwaysbest.com/accommodation--restaurants/bakkastova/,False,False,"['Monday: Closed', 'Tuesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u200910:00\u202fPM']",ATplDJZfoXudpy_RHspLaHK4vj7ahIzAutCADmMhl5w7hjja-jq-n43UxZk7y7g_ZRpGdv3ol-I6jLzj1UoMnbG879kOoUleJQN0g_FW30-_XOFvHkVIyQXVxIDKC8mNljlel5JaFDmaMc_c0TZ1_qnD88SiGJFV3fJiXM5TBj3H6S0prDIA,149,"{'type': 'point', 'data': {'lng': 2.372466, 'lat': 48.871298}}","[{'author': '', 'text': ""Very quant little Cafe. The decor is amazing. I had a gluten free soup that was lovely. They don't have a vegetarian option but they did have gluten free soup which was tasty... The green tea was lovely.\nWonderful atmosphere, very cozy and away from the rush in the stores..\n\nThe staff are young girls not very personable, so don't expect much from them but the place and food itself is lovely and definitely worth trying."", 'rating': '5'}, {'author': '', 'text': 'Nice place away from all the people. You have to order at the counter. As it was sunny, we enjoy our break outside. Too bad they had no espresso but the cakes were very good', 'rating': '5'}, {'author': '', 'text': 'Cute little cafe to grab a quick bite…friendly people, beautiful views and great food…we had the svele and sognalapskaus…amazing!', 'rating': '5'}, {'author': '', 'text': ""Beautiful place, very cozy, wonderful views, and good bathroom. For a coffee place, it only has filtered coffee and no hot milk, and it wasn't very good. The cakes looked tasty but expensive. However, it has a wide range of dining dishes we didn't try.\nGood peaceful place to hide from the rain, but coffee could be better."", 'rating': '4'}, {'author': '', 'text': 'Warm and cozy Kafe in middle of Flåm. It was the perfect ending to our trip to Flåm. We ordered some coffee, it was luke warm and when we asked for a hot coffee, the Kafe team was very friendly and served us hot coffee promptly and as a warm gesture we were offered chocholate cakes to make up for the coffee 😊', 'rating': '5'}]"
18,1706627302519,Jungle Palace,12 RUE DE LA FIDÉLITÉ  75010 PARIS,True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1709734233/wcsp3qs56zekk045gjd5.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1709734242/hxskxq8kmqzeem5q7gic.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1709734251/citeyqbp34kwflodsfke.mp4']",,[5],ChIJqSmqRVdv5kcRWn3NXEJnXIg,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.35674, 'lat': 48.874653}}",[]
19,1706627469711,Genki 元気,"23 Rue Dauphine, 75006 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710857781/bdyw4tfvohp4jvefjojr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857792/resfabrjy59wppppzmko.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857804/q6lull6lyd05as9wlavv.mp4']",09 55 15 57 65,"[1, 11]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.33978, 'lat': 48.855142}}",[]
20,1706627696960,BOOM BOOM VILLETTE,"30 Av. Corentin Cariou, 75019 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710857853/ylu0swzrwfeaalnhc6q2.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857903/hyeszld8vtd65hskkyx8.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857925/ka0c9g1uqjh4dyjh2hfj.mp4']",01 49 70 83 30,"[1, 6, 2, 7, 8, 9]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.385575, 'lat': 48.89724}}",[]
21,1706628812739,Maison Louvard,"11 Rue de Châteaudun, 75009 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710858001/xxfny7pabfxese8ynosy.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858045/caimni19anpuej3ftxne.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858079/gu6ajqzpahglrvpcrayl.mp4']",01 81 70 75 77,[11],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.340768, 'lat': 48.87574}}",[]
22,1706628962641,YSL Cafe,"8 Rue du 29 Juillet, 75001 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710858659/zjqyplqcnpq5nzvgamug.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858690/jswaca5gqaaivdoldnby.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858826/cmopawfgp8h3eh6xkogq.mp4']",01 76 70 90 11,[11],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.330704, 'lat': 48.865175}}",[]
23,1706629212529,Tableaux Paris,"8 Rue de Hanovre, 75002 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710858951/s0nq2oeajiplyigdnp8a.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859007/zxysk0add2bw5porh86n.mp4']",06 95 61 01 70,[9],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.335116, 'lat': 48.870227}}",[]
24,1706629534565,Une Kaaké à Paris,"30 Bd Saint-Michel, 75006 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710859137/baflzzov4u3fm2dcxifv.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859216/hmcpcmfsffqizdko4bxo.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859272/fgc7dw24gedxo6ckqyux.mp4']",07 72 14 61 63,"[7, 9]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.342339, 'lat': 48.850167}}",[]
