id,created_at,placeId,ratings,name,cuisine_id,address_str,published,video_links,phone_number,tags_id,price,website_url,handicap,vege,schedule,picture_profile,number_of_reviews,GPS_address,reviews
127,1712447719120,ChIJt9VeXGRv5kcRA7kQ-xGju00,3.1,Bambini,18,"13 Av. du Président Wilson, 75116 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869614/edkqdkpapaabv3zsowpr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869627/lwgau3bufxnnzcbgxnei.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869644/vpclikcbmkumwjbim1mq.mp4']",01 40 70 86 08,"[6, 5]",,https://bambini-restaurant.com/?utm_source=Yext&utm_medium=GMB&y_source=1_MjU3NjI3ODctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,True,False,"['Monday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM']",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbFGLGwE1mKAIDkxZhGZU-OvmW5rykPKT_eFpKCkTuWpqoIc0oLHE_k4CTArXMr5A9BId42PRlZ3jtcDuh7a1-9S3Tr9hWqIjIdKhWqaedjc5FziV9uupG5EGtfu8DZi2dqT-xFGWBbo74Nq6qYTzbQJNIsax_ruEaGKL6TeRT61hc&key=AIzaSyBM05T0u8LoAKr2MtbTIjXtFmrU-06ye6U,1839,"{'type': 'point', 'data': {'lng': 2.288553, 'lat': 48.863029}}","[{'author': 'Maria emilia Alonzo', 'text': 'Very nice place, views and service. The best apperol spritz in paris by far and the green bean salad is a must. The food is pretty good but a bit overpriced in my opinion. Would definitely recommend for a one time ocasion.', 'rating': '5', 'date_published': 1702731182000, 'author_profile_url': 'https://www.google.com/maps/contrib/108632796295708644587/reviews', 'lang': 'en'}]"
144,1712447795293,ChIJF-O8i4Vv5kcRfqJBCNs3Awk,3.3,Afrodisiac Paris 2,18,"16 rue Thorel, 75002 Paris",False,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711787979/yuifnp8yekgdyzgyhgbv.mp4'],+33 951917218,"[8, 9]",,https://lafrodisiacrestaurant.fr/,False,True,"['Monday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u20091:30\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u20091:30\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u200912:00\u202fAM']",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZy7aImAHijVBGgS_wQZ9FyCkcNksGDf_4GsHtrYPMuGPWJVpnYpsvhxShvTY3D5hPbTXAUjXEwppOMdpsxj3dPQ3s5VG9rnhI61G4QvOWWClrWmBDz24fBjVoQQBBXCH4Zi4sJqqfQCpX8pYJKpVJw88UjWo1zssUZxnHLYutOL-qe&key=AIzaSyBM05T0u8LoAKr2MtbTIjXtFmrU-06ye6U,742,"{'type': 'point', 'data': {'lng': 2.349138, 'lat': 48.870162}}","[{'author': 'Henry Agusti', 'text': 'Food was fantastic and the staff was really helpful. Nice upscale decor.', 'rating': '5', 'date_published': 1649882822000, 'author_profile_url': 'https://www.google.com/maps/contrib/105218951967783620990/reviews', 'lang': 'en'}]"
115,1712447667807,ChIJ041eX3Fx5kcR0Kh5i1aJ4PI,3.7,Quai Nedy,18,"5 Rue Maurice Bourdet, 75016 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710860161/aef7wrc1szwmdelpfih4.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860263/dt1qxbbmydb52uegufdr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860336/vyru6elkrw4v9xz9i0ri.mp4']",07 64 06 16 16,"[2, 3, 5]",,,True,False,"['Monday: Closed', 'Tuesday: 7:00\u202fPM\u2009–\u20092:00\u202fAM', 'Wednesday: 7:00\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 7:00\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 7:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 7:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 7:00\u202fPM\u2009–\u20092:00\u202fAM']",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZfKfTx0qYIdRn6Q3vP7Yh7EKJVO1EMh6qBf3WtsM3ujHiVRhkPUqo2IyhH7wcDyaYOPxmTmfICubvZcQvQcGLWBTzhWYu86DhrUlX_5t2OpaB8qTvR-HRPpr7YbEVIdY3mdRABQ8peEc37UgapLimpGOeuo92o6z5tu71qGQ5_theH&key=AIzaSyBM05T0u8LoAKr2MtbTIjXtFmrU-06ye6U,714,"{'type': 'point', 'data': {'lng': 2.278631, 'lat': 48.851076}}","[{'author': 'Mel', 'text': 'Nice place near the Eiffel Tower', 'rating': '3', 'date_published': 1665696440000, 'author_profile_url': 'https://www.google.com/maps/contrib/103039493270709122147/reviews', 'lang': 'en'}]"
111,1712447641628,ChIJtVPOAsxv5kcRZgRJajz-pYs,3.8,YSL Cafe,18,"8 Rue du 29 Juillet, 75001 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710858659/zjqyplqcnpq5nzvgamug.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858690/jswaca5gqaaivdoldnby.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858826/cmopawfgp8h3eh6xkogq.mp4']",01 76 70 90 11,[11],2,,True,False,"['Monday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJaQE49ecZ0ZDFif0zkzQ5VK_WUTi1fNH9_ncwxR2Pp8XX5H-Rk7KvfrLJ5ieHrvC5AlfhpZ-qTvSHRARJFwGTYOfHONc45ThXEVppIrhCG9y7StiT7ORSsIHVsDtDXzW-Zl0Xe4V5a6MXAdIIMPFL_Aqa1O5P-1OW57YZ3AKMc9JT2T&key=AIzaSyBM05T0u8LoAKr2MtbTIjXtFmrU-06ye6U,190,"{'type': 'point', 'data': {'lng': 2.330704, 'lat': 48.865175}}","[{'author': 'Jadem Molina', 'text': ""The restaurant is small but well organized and the food is just great with affordable prices. It's an local place without an English menu and staff doesn't speak English so that's the only suggestion for the admin"", 'rating': '4', 'date_published': 1555935973000, 'author_profile_url': 'https://www.google.com/maps/contrib/114297425502734913709/reviews', 'lang': 'en'}]"
114,1712447666990,ChIJIb6bdI9v5kcR6l5WUgZvcjM,3.9,Ravioli Folie,18,"28 Av. Franklin Delano Roosevelt, 75008 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710860027/xaglkrwqefjrljfcoyrf.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860099/v6zrdj2pu0rwvgznzgje.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860121/cqxubsotqzqugggsfjvw.mp4']",09 87 79 17 91,"[1, 4]",,http://raviolifolie.com/,True,False,"['Monday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200910:30\u202fPM', 'Tuesday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200910:30\u202fPM', 'Wednesday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200910:30\u202fPM', 'Thursday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200910:30\u202fPM', 'Friday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200910:30\u202fPM', 'Saturday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200910:30\u202fPM', 'Sunday: Closed']",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJb8oV-qg88CdgOnPKnZh6Sbc3JCl0tlll1KnkYEcVjIqSRw6_Md1m5cZcsOCM3MgcmsCgKornd-VaMz8HWfIurke2hMCblAXFIDnDSmpZReOUNLatzXyTgzSYs9NueHVLdTyw2ObIM8Or1UwAvjH5Kz5ZDNhlLOeYh7ZY4O7XvUOUjP&key=AIzaSyBM05T0u8LoAKr2MtbTIjXtFmrU-06ye6U,127,"{'type': 'point', 'data': {'lng': 2.310213, 'lat': 48.872328}}","[{'author': 'Anna Tisnoguz', 'text': 'Amazing food and service, highly recommend this place! Great taste and after taste :)', 'rating': '5', 'date_published': 1696717930000, 'author_profile_url': 'https://www.google.com/maps/contrib/106027053548385621588/reviews', 'lang': 'en'}]"
105,1712447615878,ChIJO2EzVqJv5kcRY3Icd5vNYYU,4,JJAN,18,"14 rue du pont neuf, 75001 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1708096483/oewynf4shlmpleic7d9t.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096655/a2szemzkj2lnh4yb2agg.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096676/cbuteijhn9y6fwvykgnb.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096700/v0bal0vg2zazobc2pdfk.mp4']",,"[1, 3]",,,False,False,"['Monday: 12:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u200911:00\u202fPM']",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbJruJT9cI5VQaCsYh_2ThwF1u7Vo5AdgmyVJwbMlKNzA0ilxbzEhg4fi0UrICcz_JDHUGiwDRmBscnkq6OlPqqKBvBYUDNzscEnk4Nr8xFaQ-RPUgI2elkAI9Qy4A2eEC4JRFn9mY1kqo7vK92y_rWZYFqf4_h4dRztS4Iq2M4IP2D&key=AIzaSyBM05T0u8LoAKr2MtbTIjXtFmrU-06ye6U,556,"{'type': 'point', 'data': {'lng': 2.344315, 'lat': 48.860111}}","[{'author': 'Carla Escobar', 'text': 'Food looks delicious but is somehow tasteless.\nThe kimchi pancake is extra oily.\nThe service was nice and friendly.\nOverall atmosphere is loud and fun, good for an affordable dinner with friends if you are in the area and don’t care much for the food quality.', 'rating': '4', 'date_published': 1707424949000, 'author_profile_url': 'https://www.google.com/maps/contrib/114297807640926292578/reviews', 'lang': 'en'}]"
109,1712447619953,ChIJ7ytBzzRs5kcRIdhzw-DV1AM,4.1,BOOM BOOM VILLETTE,18,"30 Av. Corentin Cariou, 75019 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710857853/ylu0swzrwfeaalnhc6q2.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857903/hyeszld8vtd65hskkyx8.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857925/ka0c9g1uqjh4dyjh2hfj.mp4']",01 49 70 83 30,"[1, 6, 2, 7, 8, 9]",2,https://boomboomvillette.com/,True,False,"['Monday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u20091:00\u202fAM']",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbFw_2M8gfVvXiUO61_0R8rKk8VqOcT2afMWUekpaE-CAF8IYkwgBkc70-_c7RnPOualCI7NPCXH1KRrTZpxSuzhdHofPGoz743_CD7ZNiTG2GptTr_TVFLJsARWiT5_a4jkKVEjjLoqu1N4N2FgKXzfnDYDi5abACdtZAO62Emiigy&key=AIzaSyBM05T0u8LoAKr2MtbTIjXtFmrU-06ye6U,8690,"{'type': 'point', 'data': {'lng': 2.385575, 'lat': 48.89724}}","[{'author': 'Nadim Issa', 'text': 'This review is for Pokke restaurant at Boom Boom villette. Very slow service and they mixed up with our order and gave it to another person. Waited 30 minutes for one bowl.', 'rating': '2', 'date_published': 1711806203000, 'author_profile_url': 'https://www.google.com/maps/contrib/101222910970459002220/reviews', 'lang': 'en'}]"
140,1712447770886,ChIJI1xAUGNv5kcRNDN2NYj-B3A,4.1,Libshop,18,"2 rue Saint-Philippe du Roule, 75008 Paris",True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624297/tcyd1pkz5ovngi2ygxpc.mp4'],+33142334107,"[7, 9, 10]",,https://libshop.fr/,False,True,"['Monday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZM606Cl5Z2D_bG_G1puzuNtkynw6-2GHWYCC2qjUewFMpH3m-32NGGta3Rwtti5Lj8yoRnHq7D9xCLq0V4QIB_cf6tM6BAYPe_GT58AYr9mMK8cA8J_xvyuOCrMBEqq-pCpACmtSB5wwMjqlnQE-hlcm0TZwinApp2w8E_xVcI0tD0&key=AIzaSyBM05T0u8LoAKr2MtbTIjXtFmrU-06ye6U,17,"{'type': 'point', 'data': {'lng': 2.308878, 'lat': 48.873388}}","[{'author': 'Daphné Fourcault', 'text': ""11€ for 3 falafels and green salad. Everything is bathed in an ocean of vinegar. I won't set foot there again."", 'rating': '1', 'date_published': 1679322691000, 'author_profile_url': 'https://www.google.com/maps/contrib/106236456018101817744/reviews', 'lang': 'fr'}]"
123,1712447695376,ChIJFbTv1N5x5kcR3tmyveCnUEY,4.1,CÈPE ET FIGUE,18,"61 Rue Saint-André des Arts, 75006 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710866936/vagtxejfjxg9si5jmco4.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866959/bl6rcurvlgfyfhrukogr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866984/vsun9hdrpbtfrhsvo6nl.mp4']",01 43 26 00 24,[],2,http://www.cepeetfigue.fr/,False,False,"['Monday: Closed', 'Tuesday: 12:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u200911:00\u202fPM', 'Sunday: Closed']",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbiHlgTgJH_CBqAOogRj5Xs6edTwEdUZ0xHIU_gLv_sbmXbbjPnIhhvsDibRnlgpntguFUrmuIw5tYxmzKxDKUAzVme2Du1L5gJBO3RKH7xIEhQqNU9msk6EuX0yyVprO9sIFPgCl5u4ToSpqQIOwvfR3umq0reNXRU8Sr9famfPAZo&key=AIzaSyBM05T0u8LoAKr2MtbTIjXtFmrU-06ye6U,738,"{'type': 'point', 'data': {'lng': 2.338883, 'lat': 48.853527}}","[{'author': 'Karla Miranda', 'text': 'Of all the times I’ve been in Paris, this is the best Parisian food I’ve had. I found this place just like that and I didn’t regret it.\n\nMe and my husband chose the three course menu (29€ great price!) and it was just heaven. The onion soup felt like a grandma soup, the lamb was so soft and tasty and the dessert was just amazing.\n\nPlease come to this place! The food and the service is great, very very recommended.', 'rating': '5', 'date_published': 1690973182000, 'author_profile_url': 'https://www.google.com/maps/contrib/114218307343670470619/reviews', 'lang': 'en'}]"
108,1712447618896,ChIJg4KToaZx5kcRPfGy3ZxpdtQ,4.2,Genki 元気,18,"23 Rue Dauphine, 75006 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710857781/bdyw4tfvohp4jvefjojr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857792/resfabrjy59wppppzmko.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857804/q6lull6lyd05as9wlavv.mp4']",09 55 15 57 65,"[1, 11]",,,False,False,"['Monday: 12:00\u2009–\u200910:30\u202fPM', 'Tuesday: 12:00\u2009–\u200910:30\u202fPM', 'Wednesday: 12:00\u2009–\u200910:30\u202fPM', 'Thursday: 12:00\u2009–\u200910:30\u202fPM', 'Friday: 12:00\u2009–\u200910:30\u202fPM', 'Saturday: 12:00\u2009–\u200910:30\u202fPM', 'Sunday: 12:00\u2009–\u200910:30\u202fPM']",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJYy0lXFBD12D3tyIDjCuB5c0cpqEAQt6Zo_ZC7O3s89bDiVec3ZMd5U_yO1bJwn7WzayTsh4wt1lXo-fSHU-p77_ZOu7AMVQxzHHrJZill_boqDsuJtYmxdxTsHX8yf89FnMmske3QLofcO-2ho8f9hqwQhJXjIQgMnJw8aoHv0Vbg&key=AIzaSyBM05T0u8LoAKr2MtbTIjXtFmrU-06ye6U,84,"{'type': 'point', 'data': {'lng': 2.33978, 'lat': 48.855142}}","[{'author': 'Dan G', 'text': ""I had the fraise cheese. The best strawberry boba that I've ever had in any country I've been to. Wennic Greeted me with a smile and kept that smile the whole time we were there.  Amazing service, amazing place."", 'rating': '5', 'date_published': 1704463407000, 'author_profile_url': 'https://www.google.com/maps/contrib/107721890758487260313/reviews', 'lang': 'en'}]"
