id,created_at,placeId,ratings,name,cuisine_id,address_str,published,video_links,phone_number,tags_id,price,website_url,handicap,vege,schedule,picture_profile,number_of_reviews,reviews,GPS_address
1,1712713080246,ChIJ2SnopiVt5kcRCpl04SjBTuY,4.7,Bao Express,5,"10 R. Bréguet, 75011 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710323118/bmv9qwxdmjofyh5uuooe.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323161/dhrwrbzyi1hxvxxcsegp.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323280/pvwdor8zpqolx2kufapt.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323399/bt9o9xergv4nsyg3krqw.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323417/wptamqm66tkk1volseik.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323426/sbst0dmkyiybohjcab1i.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323439/qk5kiknlvsji436qjvp0.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323450/bp1rwrdhc1mlregwwzmp.mp4']",,"[1, 2]",2,https://www.baofamily.co/bao-express,True,True,"['Monday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u20093:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u20093:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM']",https://x8ki-letl-twmt.n7.xano.io/vault/o7yJBf__/AYhmzMfUSgzQ3LOAYu89-7ZgWTw/ajg5eA../2023-01-03.jpg,3197,"[{'author': 'François Damiens', 'text': ""C'était très bon, miam miam miam"", 'rating': '5', 'date_published': 1712588762000, 'author_profile_url': '', 'lang': 'fr'}, {'author': 'Christine Kelly', 'text': ""J'ai trop aimé. Merci Bao"", 'rating': '5', 'date_published': 1712070397000, 'author_profile_url': '', 'lang': 'fr'}, {'author': 'Pietr Dobias', 'text': 'Le mangé était cool', 'rating': '5', 'date_published': 1712243225000, 'author_profile_url': '', 'lang': 'fr'}, {'author': 'Jenny Kiaz', 'text': ""J'ai vu mieux mais ca va"", 'rating': '4', 'date_published': 1711984060000, 'author_profile_url': '', 'lang': 'fr'}, {'author': 'Dylan Dummy', 'text': 'Je suis une dummy dataaaaaaaAAA', 'rating': '3', 'date_published': 1712416089000, 'author_profile_url': '', 'lang': 'fr'}]","{'type': 'point', 'data': {'lng': 2.372029, 'lat': 48.85673}}"
2,1712713080982,ChIJO2EzVqJv5kcRY3Icd5vNYYU,0,JJAN,16,"14 rue du pont neuf, 75001 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1708096483/oewynf4shlmpleic7d9t.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096655/a2szemzkj2lnh4yb2agg.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096676/cbuteijhn9y6fwvykgnb.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096700/v0bal0vg2zazobc2pdfk.mp4']",,"[1, 3]",,,False,False,"['Monday: 12:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u200911:00\u202fPM']",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbsXGReXUnhr4v14mhFFC1iTqWQj_iok0yttEaZ-0FZIpj1R2vjizIkUESLwpzBWFE8izZbKmD-KuSAQQxED8zzPGTYT8qnqrLTWNczOpxEC4jXLvfx4Z9zfkErpRKpR-a-TXnBckJN0q1jfovT0Xy_earaSgtl1TLMnuQOCBDMG_wc&key=AIzaSyBM05T0u8LoAKr2MtbTIjXtFmrU-06ye6U,0,[],"{'type': 'point', 'data': {'lng': 2.344315, 'lat': 48.860111}}"
3,1712713081473,ChIJnSU3wX4RPkYRqdPz-CXOPxg,4.6,Flam&go,16,186 rue Saint-Maur 75010 Paris,True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710781481/xkndfhnwgugjygojqqyw.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858461/u4zxhmawcase7j2l93yq.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858482/qlpscc1sdwqchkcbmc0p.mp4']",07 45 08 62 02,"[3, 5, 2]",2,http://www.flamsbrygga.no/,True,False,"['Monday: 5:00\u2009–\u20099:30\u202fPM', 'Tuesday: 5:00\u2009–\u20099:30\u202fPM', 'Wednesday: 5:00\u2009–\u20099:30\u202fPM', 'Thursday: 5:00\u2009–\u20099:30\u202fPM', 'Friday: 5:00\u2009–\u20099:30\u202fPM', 'Saturday: 5:00\u2009–\u20099:30\u202fPM', 'Sunday: 5:00\u2009–\u20099:30\u202fPM']",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJaJlaXX5hp70L3xcN0-U_GNozKBsxLWEKqKtv_BXf6__PlQtJp-rgWgUngHhwmm8Nrk7eRyHgNXEeEwAKjHP70oBtn5xeRfkhPcIYX34vanCOAe7V2ZAmlwkpkAvF9CmRZCPhSRzFQWe8FWffUlcuiSzOdzNFhaSxEC9qjF7M95DwL5&key=AIzaSyBM05T0u8LoAKr2MtbTIjXtFmrU-06ye6U,2304,"[{'author': '', 'text': 'It is a place where the food is delicious, the dishes are very good in size, the waiters are very friendly and serve you well, the craft beer is delicious, the decoration is spectacular.  It is a very nice and quiet place to dine.', 'rating': '5', 'date_published': None, 'author_profile_url': '', 'lang': ''}, {'author': '', 'text': 'When in Flam, you cannot really miss Aegir pub. A very cozy place (downstairs there is the ‘pub’ to enjoy a drink at the fireplace) whereas food is served upstairs. Recommended to reserve in advance (due to limited options in town, tends to get busy). We enjoyed the Viking plank - vegetarian and meat options. Both had 5 different dishes paired with 5 different beers. Overall very good flavors and enjoyed the experience. Food is plentiful.', 'rating': '4', 'date_published': None, 'author_profile_url': '', 'lang': ''}, {'author': '', 'text': ""The Hummus (Odin) was great, the fish the day before (cod) was rather okayish. The Service is sometimes just standing around and not checking if anyone wants something. The Beer tasting is nice, but the prices are quite high for rather standard quality in food and drinks. However, you will likely have no alternative since it is often the only open restaurant in Flåm. Better make a reservation, if not, you'll likely have to wait till you are seated upstairs in the restaurant. The ambiente is rustical Vikings Style, quite enjoyable."", 'rating': '4', 'date_published': None, 'author_profile_url': '', 'lang': ''}, {'author': '', 'text': 'Very atmospheric place that you must visit when going to Flåm. My recommendation is the vega or regular plank with 5 courses and 5 beer tasting. Every beer combines with one of the flavours in the 5 courses. Really friendly staff as well!  The photos will tell your the rest!', 'rating': '5', 'date_published': None, 'author_profile_url': '', 'lang': ''}, {'author': '', 'text': 'Gorgeous little pub/restaurant. Really cosy vibes. Staff were very friendly. Food was delicious and the tasting beers were great! The veggie option with the hummus was so tasty!', 'rating': '5', 'date_published': None, 'author_profile_url': '', 'lang': ''}]","{'type': 'point', 'data': {'lng': 2.372466, 'lat': 48.871298}}"
4,1712713081992,ChIJqSmqRVdv5kcRWn3NXEJnXIg,0,Jungle Palace,10,12 RUE DE LA FIDÉLITÉ  75010 PARIS,True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1709734233/wcsp3qs56zekk045gjd5.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1709734242/hxskxq8kmqzeem5q7gic.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1709734251/citeyqbp34kwflodsfke.mp4']",,[5],,,False,False,[],,0,"[{'author': '', 'text': '', 'rating': '', 'date_published': None, 'author_profile_url': '', 'lang': ''}]","{'type': 'point', 'data': {'lng': 2.35674, 'lat': 48.874653}}"
5,1712713082476,,0,Genki 元気,3,"23 Rue Dauphine, 75006 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710857781/bdyw4tfvohp4jvefjojr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857792/resfabrjy59wppppzmko.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857804/q6lull6lyd05as9wlavv.mp4']",09 55 15 57 65,"[1, 11]",,,False,False,[],,0,"[{'author': '', 'text': '', 'rating': '', 'date_published': None, 'author_profile_url': '', 'lang': ''}]","{'type': 'point', 'data': {'lng': 2.33978, 'lat': 48.855142}}"
6,1712713082963,ChIJ7ytBzzRs5kcRIdhzw-DV1AM,4.1,BOOM BOOM VILLETTE,10,"30 Av. Corentin Cariou, 75019 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710857853/ylu0swzrwfeaalnhc6q2.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857903/hyeszld8vtd65hskkyx8.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857925/ka0c9g1uqjh4dyjh2hfj.mp4']",01 49 70 83 30,"[1, 6, 2, 7, 8, 9]",2,https://boomboomvillette.com/,True,False,"['Monday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u20091:00\u202fAM']",ATplDJaAIm857wWg7-1E6vTxOIJvCt6xvd4jEj8lApV0r2CADBVwN_WpqZqubgOACSB813xqn8c4qnI-GXkk6wVN-XlxQD_Uj4q1lzO7pFjzloZfS4FTmZ3nWOzJrkkOL5qR6zdqYaXkxw9mjdnAgxc6p8OFb_JHjkWWjQXjlOBrocWOZPt1,8676,"[{'author': '', 'text': '', 'rating': '', 'date_published': None, 'author_profile_url': '', 'lang': ''}]","{'type': 'point', 'data': {'lng': 2.385575, 'lat': 48.89724}}"
7,1712713103506,ChIJXUJjHI9v5kcRaVQmBJ0E8nc,4.3,Maison Louvard,7,"11 Rue de Châteaudun, 75009 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710858001/xxfny7pabfxese8ynosy.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858045/caimni19anpuej3ftxne.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858079/gu6ajqzpahglrvpcrayl.mp4']",01 81 70 75 77,[11],2,http://maisonlouvard.fr/,True,False,"['Monday: 7:00\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: Closed']",ATplDJZw6cvYjnHSSLzoZ04BE_2_bV4WZC0zvWcn50urQVDM0m_6gCnjQxJlA7Dbb2_9DS0xkC698Ayn6pTilvGqSJN0NOEtbVv76ovBdVGEzIF74RiXP5SD1UsMoeDrDX3bhXfv_eLDq47XBkDdjOFRLfExuXfYHVjXNPyreTOKeFaPEyh_,729,"[{'author': '', 'text': '', 'rating': '', 'date_published': None, 'author_profile_url': '', 'lang': ''}]","{'type': 'point', 'data': {'lng': 2.340768, 'lat': 48.87574}}"
8,1712713103976,ChIJtVPOAsxv5kcRZgRJajz-pYs,3.8,YSL Cafe,11,"8 Rue du 29 Juillet, 75001 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710858659/zjqyplqcnpq5nzvgamug.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858690/jswaca5gqaaivdoldnby.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858826/cmopawfgp8h3eh6xkogq.mp4']",01 76 70 90 11,[11],2,,True,False,"['Monday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",ATplDJZl_uc5BncBjxedwm7xMKyaTeSzEKgxrJtWzl80vH7c4Zqda9KjucgZdwuzPA0fA_HIFqFXIJ4EkTjRZTrDAi5PpQBf9kY-3sAIIfcLxzUxQU53aObhRtfojMi930jE84WuD62WhBTwdAGSuRv2mec1TPct8dyedr7OdXAlLa8krcm5,189,"[{'author': '', 'text': '', 'rating': '', 'date_published': None, 'author_profile_url': '', 'lang': ''}]","{'type': 'point', 'data': {'lng': 2.330704, 'lat': 48.865175}}"
9,1712713104441,,0,Tableaux Paris,1,"8 Rue de Hanovre, 75002 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710858951/s0nq2oeajiplyigdnp8a.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859007/zxysk0add2bw5porh86n.mp4']",06 95 61 01 70,[9],,,False,False,[],,0,"[{'author': '', 'text': '', 'rating': '', 'date_published': None, 'author_profile_url': '', 'lang': ''}]","{'type': 'point', 'data': {'lng': 2.335116, 'lat': 48.870227}}"
10,1712713104894,ChIJwc06-rBt5kcRWNPRltJQcd0,4.6,Maison Maé,7,"17 Rue du Château d'Eau, 75010 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710859828/r6yzcei0bvxaaznnui3h.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859882/e9sgiq3klr9nuxxohmth.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859914/ndf5ju1fomf6ao2tayak.mp4']",01 40 34 89 83,[11],,http://www.maison-sota.com/,True,False,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 7:30\u2009–\u20099:00\u202fPM', 'Thursday: 12:30\u2009–\u20091:30\u202fPM, 7:30\u2009–\u20099:00\u202fPM', 'Friday: 12:30\u2009–\u20091:30\u202fPM, 7:30\u2009–\u20099:00\u202fPM', 'Saturday: 12:30\u2009–\u20091:30\u202fPM, 7:30\u2009–\u20099:00\u202fPM', 'Sunday: 12:30\u2009–\u20091:30\u202fPM']",ATplDJbNNns5Vi3EgGOkeh83Q7E0KEOTxEsuEGgwxXSMsotkbMRdmlxmfr38jWs11F0v0-GcZKb36KnREoCTZzaMOY4G1kZAcfwgdRcvzwCrB2Fefx6pmliXsZ92m230i9ZVadymp_9MayB4Vr00m20-MsY7SXsuYoouiAelrUiVPKBRAC8P,197,"[{'author': '', 'text': '', 'rating': '', 'date_published': None, 'author_profile_url': '', 'lang': ''}]","{'type': 'point', 'data': {'lng': 2.360333, 'lat': 48.869986}}"
