id,nomPropre,created_at,name,video_links,picture_profile,placeId,ratings
26,aca.pigalleChIJsWCnxS5v5kcR4lpaV7jKHFw,1712723435678,ACÀ PIGALLE,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869929/vndo29expldm6iwf0d1l.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869938/o5mnsj4twfn240fnz4d5.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869954/pd8qowwo43hccn1rhhj6.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/Y_6CdhAqt7JwaJZRxY7eb-ThTP4/b-Krow../AC%C3%80+PIGALLE.jpg,ChIJsWCnxS5v5kcR4lpaV7jKHFw,4.5
40,africall.foodChIJNWnUD0jVwkcRPuXQLFCly4g,1712723488855,AfriCall Food,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711787699/hnm0yew09zqvpethlemw.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/aChZzUg1eLDZwhMvOhGpdnPqmNw/p5k1yQ../Afri+Call+Food.jpg,ChIJNWnUD0jVwkcRPuXQLFCly4g,4.2
41,afrodisiac.paris.2ChIJF-O8i4Vv5kcRfqJBCNs3Awk,1712723489768,Afrodisiac Paris 2,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711787979/yuifnp8yekgdyzgyhgbv.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/dcg_U8nl4yTQOJ3xYMq9mjfpD2Y/N72FNA../Afrodisiac+Paris+2.jpg,ChIJF-O8i4Vv5kcRfqJBCNs3Awk,3.3
24,bambiniChIJt9VeXGRv5kcRA7kQ-xGju00,1712723413339,Bambini,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869614/edkqdkpapaabv3zsowpr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869627/lwgau3bufxnnzcbgxnei.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869644/vpclikcbmkumwjbim1mq.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/U4fDLUo3-BbdbHu08KiN218-74w/dsj7MA../Bambini.jpg,ChIJt9VeXGRv5kcRA7kQ-xGju00,3.1
1,bao.expressChIJ2SnopiVt5kcRCpl04SjBTuY,1712723331153,Bao Express,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710323118/bmv9qwxdmjofyh5uuooe.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323161/dhrwrbzyi1hxvxxcsegp.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323280/pvwdor8zpqolx2kufapt.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323399/bt9o9xergv4nsyg3krqw.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323417/wptamqm66tkk1volseik.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323426/sbst0dmkyiybohjcab1i.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323439/qk5kiknlvsji436qjvp0.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323450/bp1rwrdhc1mlregwwzmp.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/o7yJBf__/AYhmzMfUSgzQ3LOAYu89-7ZgWTw/ajg5eA../2023-01-03.jpg,ChIJ2SnopiVt5kcRCpl04SjBTuY,4.7
32,boneshaker.donutsChIJVVWZuRdu5kcRVRJ28o0ITPU,1712723461395,Boneshaker Donuts,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1711623856/z1dh1zw5vx2r2elafjeg.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1711623956/hoeh8ftsetpgs7pklbii.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/zIja6xjFgX7bMbFU-3kyNzY5eTA/8ds5Lg../Boneshaker+Donuts.jpg,ChIJVVWZuRdu5kcRVRJ28o0ITPU,4.4
6,boom.boom.villetteChIJ7ytBzzRs5kcRIdhzw-DV1AM,1712723336097,BOOM BOOM VILLETTE,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710857853/ylu0swzrwfeaalnhc6q2.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857903/hyeszld8vtd65hskkyx8.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857925/ka0c9g1uqjh4dyjh2hfj.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/C-oTWZrUujabw-cfAWGtT4eWZho/BcYzeA../BOOM+BOOM+VILLETTE.jpg,ChIJ7ytBzzRs5kcRIdhzw-DV1AM,4.1
13,cafe.louis.vuittonChIJM65MruFv5kcRlQzBHLF0e_4,1712723382492,Café Louis Vuitton,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710860679/pm0ru1fpsxkqhfpeu4ac.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860718/mufh9f1nfhat9z1xutlq.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860758/ikzxn5rkfvxr9reftsiw.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/cBX_xSC3UABgfrGmVvBWKFSxwXI/gJlUxQ../Caf%C3%A9+Louis+Vuitton.jpg,ChIJM65MruFv5kcRlQzBHLF0e_4,4.5
20,cepe.et.figueChIJFbTv1N5x5kcR3tmyveCnUEY,1712723409549,CÈPE ET FIGUE,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710866936/vagtxejfjxg9si5jmco4.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866959/bl6rcurvlgfyfhrukogr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866984/vsun9hdrpbtfrhsvo6nl.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/GjVEjZoMMrZ-8zj_ON5TnimeB40/UGMMmQ../C%C3%88PE+ET+FIGUE.jpg,ChIJFbTv1N5x5kcR3tmyveCnUEY,4.1
28,chez.hakiChIJUcyFxxxv5kcRF2lLWhD03L4,1712723437518,CHEZ HAKI,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710870277/ykbtauvb7vyggpptd5hx.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710870302/ndpybc4p4zmoxb3dbhef.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710870376/uq48tme2ghhh6d2t6xjd.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/1A2VMbLgIFg3QpOMJtMHe8ioOck/qnsLEw../CHEZ+HAKI.jpg,ChIJUcyFxxxv5kcRF2lLWhD03L4,4.7
22,fay.si.tisChIJZQGNQmRz5kcRAGzYhW7gHwU,1712723411355,Fay’si Tis,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869414/am94srilifcqyy45vbxn.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869438/xa7mapijk0dpgfoz2zsy.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869456/ajivky9yg6kfomavs1dw.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/X-IjSRfjeJidFGq3I6lB2QIEnNc/l973qA../Fay%E2%80%99si+Tis.jpg,ChIJZQGNQmRz5kcRAGzYhW7gHwU,4.9
3,flam.goChIJAU-K6f5t5kcRChmT-vPvrC0,1712723333182,Flam&go,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710781481/xkndfhnwgugjygojqqyw.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858461/u4zxhmawcase7j2l93yq.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858482/qlpscc1sdwqchkcbmc0p.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/h4IWZvaAW6yJGoUSWzQvqVpx6RI/9IuRhw../Flam%26go.jpg,ChIJAU-K6f5t5kcRChmT-vPvrC0,4.3
